year,market,spending_category,value_rm_million,percentage_share
2023,India,Sports,0.0,0.0
2023,Indonesia,Accommodation,0.0,0.0
2023,Indonesia,All spending categories,11880.0,100.0
2023,Indonesia,Domestic Airfares,0.0,0.0
2023,Indonesia,Entertainment,0.0,0.0
2023,Indonesia,Food & Beverages,0.0,0.0
2023,Indonesia,Fuel,0.0,0.0
2023,Indonesia,International Airfares,0.0,0.0
2023,Indonesia,Local Transportation,0.0,0.0
2023,Indonesia,Medical,0.0,0.0
2023,Indonesia,Organised Tour,0.0,0.0
2023,Indonesia,Others,0.0,0.0
2023,Indonesia,Shopping,0.0,0.0
2023,Indonesia,Sports,0.0,0.0
2023,Iran,Accommodation,0.0,0.0
2023,Iran,All spending categories,196.65,100.0
2023,Iran,Domestic Airfares,0.0,0.0
2023,Iran,Entertainment,0.0,0.0
2023,Iran,Food & Beverages,0.0,0.0
2023,Iran,Fuel,0.0,0.0
2023,Iran,International Airfares,0.0,0.0
2023,Iran,Local Transportation,0.0,0.0
2023,Iran,Medical,0.0,0.0
2023,Iran,Organised Tour,0.0,0.0
2023,Iran,Others,0.0,0.0
2023,Iran,Shopping,0.0,0.0
2023,Iran,Sports,0.0,0.0
2023,Ireland,Accommodation,0.0,0.0
2023,Ireland,All spending categories,102.75,100.0
2023,Ireland,Domestic Airfares,0.0,0.0
2023,Ireland,Entertainment,0.0,0.0
2023,Ireland,Food & Beverages,0.0,0.0
2023,Ireland,Fuel,0.0,0.0
2023,Ireland,International Airfares,0.0,0.0
2023,Ireland,Local Transportation,0.0,0.0
2023,Ireland,Medical,0.0,0.0
2023,Ireland,Organised Tour,0.0,0.0
2023,Ireland,Others,0.0,0.0
2023,Ireland,Shopping,0.0,0.0
2023,Ireland,Sports,0.0,0.0
2023,Italy,Accommodation,0.0,0.0
2023,Italy,All spending categories,254.04,100.0
2023,Italy,Domestic Airfares,0.0,0.0
2023,Italy,Entertainment,0.0,0.0
2023,Italy,Food & Beverages,0.0,0.0
2023,Italy,Fuel,0.0,0.0
2023,Italy,International Airfares,0.0,0.0
2023,Italy,Local Transportation,0.0,0.0
2023,Italy,Medical,0.0,0.0
2023,Italy,Organised Tour,0.0,0.0
2023,Italy,Others,0.0,0.0
2023,Italy,Shopping,0.0,0.0
2023,Italy,Sports,0.0,0.0
2023,Japan,Accommodation,0.0,0.0
2023,Japan,All spending categories,1382.73,100.0
2023,Japan,Domestic Airfares,0.0,0.0
2023,Japan,Entertainment,0.0,0.0
2023,Japan,Food & Beverages,0.0,0.0
2023,Japan,Fuel,0.0,0.0
2023,Japan,International Airfares,0.0,0.0
2023,Japan,Local Transportation,0.0,0.0
2023,Japan,Medical,0.0,0.0
2023,Japan,Organised Tour,0.0,0.0
2023,Japan,Others,0.0,0.0
2023,Japan,Shopping,0.0,0.0
2023,Japan,Sports,0.0,0.0
2023,Kuwait,Accommodation,0.0,0.0
2023,Kuwait,All spending categories,138.26,100.0
2023,Kuwait,Domestic Airfares,0.0,0.0
2023,Kuwait,Entertainment,0.0,0.0
2023,Kuwait,Food & Beverages,0.0,0.0
2023,Kuwait,Fuel,0.0,0.0
2023,Kuwait,International Airfares,0.0,0.0
2023,Kuwait,Local Transportation,0.0,0.0
2023,Kuwait,Medical,0.0,0.0
2023,Kuwait,Organised Tour,0.0,0.0
2023,Kuwait,Others,0.0,0.0
2023,Kuwait,Shopping,0.0,0.0
2023,Kuwait,Sports,0.0,0.0
2023,Netherlands,Accommodation,0.0,0.0
2023,Netherlands,All spending categories,390.44,100.0
2023,Netherlands,Domestic Airfares,0.0,0.0
2023,Netherlands,Entertainment,0.0,0.0
2023,Netherlands,Food & Beverages,0.0,0.0
2023,Netherlands,Fuel,0.0,0.0
2023,Netherlands,International Airfares,0.0,0.0
2023,Netherlands,Local Transportation,0.0,0.0
2023,Netherlands,Medical,0.0,0.0
2023,Netherlands,Organised Tour,0.0,0.0
2023,Netherlands,Others,0.0,0.0
2023,Netherlands,Shopping,0.0,0.0
2023,Netherlands,Sports,0.0,0.0
2023,New Zealand,Accommodation,0.0,0.0
2023,New Zealand,All spending categories,255.25,100.0
2023,New Zealand,Domestic Airfares,0.0,0.0
2023,New Zealand,Entertainment,0.0,0.0
2023,New Zealand,Food & Beverages,0.0,0.0
2023,New Zealand,Fuel,0.0,0.0
2023,New Zealand,International Airfares,0.0,0.0
2023,New Zealand,Local Transportation,0.0,0.0
2023,New Zealand,Medical,0.0,0.0
2023,New Zealand,Organised Tour,0.0,0.0
2023,New Zealand,Others,0.0,0.0
2023,New Zealand,Shopping,0.0,0.0
2023,New Zealand,Sports,0.0,0.0
2023,Norway,Accommodation,0.0,0.0
2023,Norway,All spending categories,49.45,100.0
2023,Norway,Domestic Airfares,0.0,0.0
2023,Norway,Entertainment,0.0,0.0
2023,Norway,Food & Beverages,0.0,0.0
2023,Norway,Fuel,0.0,0.0
2023,Norway,International Airfares,0.0,0.0
2023,Norway,Local Transportation,0.0,0.0
2023,Norway,Medical,0.0,0.0
2023,Norway,Organised Tour,0.0,0.0
2023,Norway,Others,0.0,0.0
2023,Norway,Shopping,0.0,0.0
2023,Norway,Sports,0.0,0.0
2023,Oman,Accommodation,0.0,0.0
2023,Oman,All spending categories,170.2,100.0
2023,Oman,Domestic Airfares,0.0,0.0
2023,Oman,Entertainment,0.0,0.0
2023,Oman,Food & Beverages,0.0,0.0
2023,Oman,Fuel,0.0,0.0
2023,Oman,International Airfares,0.0,0.0
2023,Oman,Local Transportation,0.0,0.0
2023,Oman,Medical,0.0,0.0
2023,Oman,Organised Tour,0.0,0.0
2023,Oman,Others,0.0,0.0
2023,Oman,Shopping,0.0,0.0
2023,Oman,Sports,0.0,0.0
2023,Others,Accommodation,0.0,0.0
2023,Others,All spending categories,4090.0,100.0
2023,Others,Domestic Airfares,0.0,0.0
2023,Others,Entertainment,0.0,0.0
2023,Others,Food & Beverages,0.0,0.0
2023,Others,Fuel,0.0,0.0
2023,Others,International Airfares,0.0,0.0
2023,Others,Local Transportation,0.0,0.0
2023,Others,Medical,0.0,0.0
2023,Others,Organised Tour,0.0,0.0
2023,Others,Others,0.0,0.0
2023,Others,Shopping,0.0,0.0
2023,Others,Sports,0.0,0.0
2023,Overall,Accommodation,0.0,0.0
2023,Overall,All spending categories,74290.0,100.0
2023,Overall,Domestic Airfares,0.0,0.0
2023,Overall,Entertainment,0.0,0.0
2023,Overall,Food & Beverages,0.0,0.0
2023,Overall,Fuel,0.0,0.0
2023,Overall,International Airfares,0.0,0.0
2023,Overall,Local Transportation,0.0,0.0
2023,Overall,Medical,0.0,0.0
2023,Overall,Organised Tour,0.0,0.0
2023,Overall,Others,0.0,0.0
2023,Overall,Shopping,0.0,0.0
2023,Overall,Sports,0.0,0.0
2023,Pakistan,Accommodation,0.0,0.0
2023,Pakistan,All spending categories,543.13,100.0
2023,Pakistan,Domestic Airfares,0.0,0.0
2023,Pakistan,Entertainment,0.0,0.0
2023,Pakistan,Food & Beverages,0.0,0.0
2023,Pakistan,Fuel,0.0,0.0
2023,Pakistan,International Airfares,0.0,0.0
2023,Pakistan,Local Transportation,0.0,0.0
2023,Pakistan,Medical,0.0,0.0
2023,Pakistan,Organised Tour,0.0,0.0
2023,Pakistan,Others,0.0,0.0
2023,Pakistan,Shopping,0.0,0.0
2023,Pakistan,Sports,0.0,0.0
2023,Philippines,Accommodation,0.0,0.0
2023,Philippines,All spending categories,1370.96,100.0
2023,Philippines,Domestic Airfares,0.0,0.0
2023,Philippines,Entertainment,0.0,0.0
2023,Philippines,Food & Beverages,0.0,0.0
2023,Philippines,Fuel,0.0,0.0
2023,Philippines,International Airfares,0.0,0.0
2023,Philippines,Local Transportation,0.0,0.0
2023,Philippines,Medical,0.0,0.0
2023,Philippines,Organised Tour,0.0,0.0
2023,Philippines,Others,0.0,0.0
2023,Philippines,Shopping,0.0,0.0
2023,Philippines,Sports,0.0,0.0
2023,Russia,Accommodation,0.0,0.0
2023,Russia,All spending categories,594.55,100.0
2023,Russia,Domestic Airfares,0.0,0.0
2023,Russia,Entertainment,0.0,0.0
2023,Russia,Food & Beverages,0.0,0.0
2023,Russia,Fuel,0.0,0.0
2023,Russia,International Airfares,0.0,0.0
2023,Russia,Local Transportation,0.0,0.0
2023,Russia,Medical,0.0,0.0
2023,Russia,Organised Tour,0.0,0.0
2023,Russia,Others,0.0,0.0
2023,Russia,Shopping,0.0,0.0
2023,Russia,Sports,0.0,0.0
2023,Saudi Arabia,Accommodation,0.0,0.0
2023,Saudi Arabia,All spending categories,573.51,100.0
2023,Saudi Arabia,Domestic Airfares,0.0,0.0
2023,Saudi Arabia,Entertainment,0.0,0.0
2023,Saudi Arabia,Food & Beverages,0.0,0.0
2023,Saudi Arabia,Fuel,0.0,0.0
2023,Saudi Arabia,International Airfares,0.0,0.0
2023,Saudi Arabia,Local Transportation,0.0,0.0
2023,Saudi Arabia,Medical,0.0,0.0
2023,Saudi Arabia,Organised Tour,0.0,0.0
2023,Saudi Arabia,Others,0.0,0.0
2023,Saudi Arabia,Shopping,0.0,0.0
2023,Saudi Arabia,Sports,0.0,0.0
2023,Singapore,Accommodation,0.0,0.0
2023,Singapore,All spending categories,21580.0,100.0
2023,Singapore,Domestic Airfares,0.0,0.0
2023,Singapore,Entertainment,0.0,0.0
2023,Singapore,Food & Beverages,0.0,0.0
2023,Singapore,Fuel,0.0,0.0
2023,Singapore,International Airfares,0.0,0.0
2023,Singapore,Local Transportation,0.0,0.0
2023,Singapore,Medical,0.0,0.0
2023,Singapore,Organised Tour,0.0,0.0
2023,Singapore,Others,0.0,0.0
2023,Singapore,Shopping,0.0,0.0
2023,Singapore,Sports,0.0,0.0
2023,South Africa,Accommodation,0.0,0.0
2023,South Africa,All spending categories,75.69,100.0
2023,South Africa,Domestic Airfares,0.0,0.0
2023,South Africa,Entertainment,0.0,0.0
2023,South Africa,Food & Beverages,0.0,0.0
2023,South Africa,Fuel,0.0,0.0
2023,South Africa,International Airfares,0.0,0.0
2023,South Africa,Local Transportation,0.0,0.0
2023,South Africa,Medical,0.0,0.0
2023,South Africa,Organised Tour,0.0,0.0
2023,South Africa,Others,0.0,0.0
2023,South Africa,Shopping,0.0,0.0
2023,South Africa,Sports,0.0,0.0
2023,South Korea,Accommodation,0.0,0.0
2023,South Korea,All spending categories,2302.97,100.0
2023,South Korea,Domestic Airfares,0.0,0.0
2023,South Korea,Entertainment,0.0,0.0
2023,South Korea,Food & Beverages,0.0,0.0
2023,South Korea,Fuel,0.0,0.0
2023,South Korea,International Airfares,0.0,0.0
2023,South Korea,Local Transportation,0.0,0.0
2023,South Korea,Medical,0.0,0.0
2023,South Korea,Organised Tour,0.0,0.0
2023,South Korea,Others,0.0,0.0
2023,South Korea,Shopping,0.0,0.0
2023,South Korea,Sports,0.0,0.0
2023,Spain,Accommodation,0.0,0.0
2023,Spain,All spending categories,223.54,100.0
2023,Spain,Domestic Airfares,0.0,0.0
2023,Spain,Entertainment,0.0,0.0
2023,Spain,Food & Beverages,0.0,0.0
2023,Spain,Fuel,0.0,0.0
2023,Spain,International Airfares,0.0,0.0
2023,Spain,Local Transportation,0.0,0.0
2023,Spain,Medical,0.0,0.0
2023,Spain,Organised Tour,0.0,0.0
2023,Spain,Others,0.0,0.0
2023,Spain,Shopping,0.0,0.0
2023,Spain,Sports,0.0,0.0
2023,Sweden,Accommodation,0.0,0.0
2023,Sweden,All spending categories,100.27,100.0
2023,Sweden,Domestic Airfares,0.0,0.0
2023,Sweden,Entertainment,0.0,0.0
2023,Sweden,Food & Beverages,0.0,0.0
2023,Sweden,Fuel,0.0,0.0
2023,Sweden,International Airfares,0.0,0.0
2023,Sweden,Local Transportation,0.0,0.0
2023,Sweden,Medical,0.0,0.0
2023,Sweden,Organised Tour,0.0,0.0
2023,Sweden,Others,0.0,0.0
2023,Sweden,Shopping,0.0,0.0
2023,Sweden,Sports,0.0,0.0
2023,Switzerland,Accommodation,0.0,0.0
2023,Switzerland,All spending categories,119.45,100.0
2023,Switzerland,Domestic Airfares,0.0,0.0
2023,Switzerland,Entertainment,0.0,0.0
2023,Switzerland,Food & Beverages,0.0,0.0
2023,Switzerland,Fuel,0.0,0.0
2023,Switzerland,International Airfares,0.0,0.0
2023,Switzerland,Local Transportation,0.0,0.0
2023,Switzerland,Medical,0.0,0.0
2023,Switzerland,Organised Tour,0.0,0.0
2023,Switzerland,Others,0.0,0.0
2023,Switzerland,Shopping,0.0,0.0
2023,Switzerland,Sports,0.0,0.0
2023,Thailand,Accommodation,0.0,0.0
2023,Thailand,All spending categories,3240.0,100.0
2023,Thailand,Domestic Airfares,0.0,0.0
2023,Thailand,Entertainment,0.0,0.0
2023,Thailand,Food & Beverages,0.0,0.0
2023,Thailand,Fuel,0.0,0.0
2023,Thailand,International Airfares,0.0,0.0
2023,Thailand,Local Transportation,0.0,0.0
2023,Thailand,Medical,0.0,0.0
2023,Thailand,Organised Tour,0.0,0.0
2023,Thailand,Others,0.0,0.0
2023,Thailand,Shopping,0.0,0.0
2023,Thailand,Sports,0.0,0.0
2023,U.S.A,Accommodation,0.0,0.0
2023,U.S.A,All spending categories,1308.79,100.0
2023,U.S.A,Domestic Airfares,0.0,0.0
2023,U.S.A,Entertainment,0.0,0.0
2023,U.S.A,Food & Beverages,0.0,0.0
2023,U.S.A,Fuel,0.0,0.0
2023,U.S.A,International Airfares,0.0,0.0
2023,U.S.A,Local Transportation,0.0,0.0
2023,U.S.A,Medical,0.0,0.0
2023,U.S.A,Organised Tour,0.0,0.0
2023,U.S.A,Others,0.0,0.0
2023,U.S.A,Shopping,0.0,0.0
2023,U.S.A,Sports,0.0,0.0
2023,United Arab Emirates,Accommodation,0.0,0.0
2023,United Arab Emirates,All spending categories,96.48,100.0
2023,United Arab Emirates,Domestic Airfares,0.0,0.0
2023,United Arab Emirates,Entertainment,0.0,0.0
2023,United Arab Emirates,Food & Beverages,0.0,0.0
2023,United Arab Emirates,Fuel,0.0,0.0
2023,United Arab Emirates,International Airfares,0.0,0.0
2023,United Arab Emirates,Local Transportation,0.0,0.0
2023,United Arab Emirates,Medical,0.0,0.0
2023,United Arab Emirates,Organised Tour,0.0,0.0
2023,United Arab Emirates,Others,0.0,0.0
2023,United Arab Emirates,Shopping,0.0,0.0
2023,United Arab Emirates,Sports,0.0,0.0
2023,United Kingdom,Accommodation,0.0,0.0
2023,United Kingdom,All spending categories,1880.29,100.0
2023,United Kingdom,Domestic Airfares,0.0,0.0
2023,United Kingdom,Entertainment,0.0,0.0
2023,United Kingdom,Food & Beverages,0.0,0.0
2023,United Kingdom,Fuel,0.0,0.0
2023,United Kingdom,International Airfares,0.0,0.0
2023,United Kingdom,Local Transportation,0.0,0.0
2023,United Kingdom,Medical,0.0,0.0
2023,United Kingdom,Organised Tour,0.0,0.0
2023,United Kingdom,Others,0.0,0.0
2023,United Kingdom,Shopping,0.0,0.0
2023,United Kingdom,Sports,0.0,0.0
2023,Vietnam,Accommodation,0.0,0.0
2023,Vietnam,All spending categories,1299.92,100.0
2023,Vietnam,Domestic Airfares,0.0,0.0
2023,Vietnam,Entertainment,0.0,0.0
2023,Vietnam,Food & Beverages,0.0,0.0
2023,Vietnam,Fuel,0.0,0.0
2023,Vietnam,International Airfares,0.0,0.0
2023,Vietnam,Local Transportation,0.0,0.0
2023,Vietnam,Medical,0.0,0.0
2023,Vietnam,Organised Tour,0.0,0.0
2023,Vietnam,Others,0.0,0.0
2023,Vietnam,Shopping,0.0,0.0
2023,Vietnam,Sports,0.0,0.0
2022,Australia,All spending categories,2092.28,100.0
2022,Belgium,All spending categories,89.2,100.0
2022,Brunei Darussalam,All spending categories,2813.01,100.0
2022,Canada,All spending categories,406.1,100.0
2022,China,All spending categories,8830.0,100.0
2022,Chinese Taipei,All spending categories,250.22,100.0
2022,Denmark,All spending categories,98.46,100.0
2022,Finland,All spending categories,33.1,100.0
2022,France,All spending categories,622.84,100.0
2022,Germany,All spending categories,698.4,100.0
2022,India,All spending categories,3370.0,100.0
2022,Indonesia,All spending categories,11730.0,100.0
2022,Iran,All spending categories,398.29,100.0
2022,Ireland,All spending categories,101.62,100.0
2022,Italy,All spending categories,251.47,100.0
2022,Japan,All spending categories,1364.42,100.0
2022,Kuwait,All spending categories,87.46,100.0
2022,Netherlands,All spending categories,330.42,100.0
2022,New Zealand,All spending categories,222.61,100.0
2022,Norway,All spending categories,59.66,100.0
2022,Oman,All spending categories,169.85,100.0
2022,Others,All spending categories,4040.0,100.0
2022,Overall,All spending categories,28228.28,100.0
2022,Pakistan,All spending categories,541.75,100.0
2022,Philippines,All spending categories,1323.9,100.0
2022,Russia,All spending categories,150.27,100.0
2022,Saudi Arabia,All spending categories,572.01,100.0
2022,Singapore,All spending categories,20550.0,100.0
2022,South Africa,All spending categories,74.75,100.0
2022,South Korea,All spending categories,2278.09,100.0
2022,Spain,All spending categories,221.16,100.0
2022,Sweden,All spending categories,99.61,100.0
2022,Switzerland,All spending categories,118.49,100.0
2022,Thailand,All spending categories,2950.0,100.0
2022,U.S.A,All spending categories,1298.01,100.0
2022,United Arab Emirates,All spending categories,26.14,100.0
2022,United Kingdom,All spending categories,1866.99,100.0
2022,Vietnam,All spending categories,1288.46,100.0
2021,Australia,All spending categories,1739.05,100.0
2021,Belgium,All spending categories,89.27,100.0
2021,Brunei Darussalam,All spending categories,1958.73,100.0
2021,Canada,All spending categories,435.72,100.0
2021,China,All spending categories,1820.0,100.0
2021,Chinese Taipei,All spending categories,2233.23,100.0
2021,Denmark,All spending categories,86.95,100.0
2021,Finland,All spending categories,18.5,100.0
2021,France,All spending categories,629.81,100.0
2021,Germany,All spending categories,629.73,100.0
2021,India,All spending categories,3620.0,100.0
2021,Indonesia,All spending categories,12940.0,100.0
2021,Iran,All spending categories,195.83,100.0
2021,Ireland,All spending categories,94.54,100.0
2021,Italy,All spending categories,239.26,100.0
2021,Japan,All spending categories,308.22,100.0
2021,Kuwait,All spending categories,7.67,100.0
2021,Netherlands,All spending categories,387.27,100.0
2021,New Zealand,All spending categories,251.81,100.0
2021,Norway,All spending categories,48.94,100.0
2021,Oman,All spending categories,218.12,100.0
2021,Others,All spending categories,4590.0,100.0
2021,Overall,All spending categories,238.73,100.0
2021,Pakistan,All spending categories,458.6,100.0
2021,Philippines,All spending categories,1382.86,100.0
2021,Russia,All spending categories,368.52,100.0
2021,Saudi Arabia,All spending categories,251.73,100.0
2021,Singapore,All spending categories,19500.0,100.0
2021,South Africa,All spending categories,20.3,100.0
2021,South Korea,All spending categories,508.4,100.0
2021,Spain,All spending categories,182.22,100.0
2021,Sweden,All spending categories,38.19,100.0
2021,Switzerland,All spending categories,112.66,100.0
2021,Thailand,All spending categories,610.0,100.0
2021,U.S.A,All spending categories,1276.35,100.0
2021,United Arab Emirates,All spending categories,96.36,100.0
2021,United Kingdom,All spending categories,2111.32,100.0
2021,Vietnam,All spending categories,177.34,100.0
2020,Australia,All spending categories,318.91,100.0
2020,Belgium,All spending categories,19.51,100.0
2020,Brunei Darussalam,All spending categories,289.05,100.0
2020,Canada,All spending categories,70.33,100.0
2020,China,All spending categories,15330.0,100.0
2020,Chinese Taipei,All spending categories,244.99,100.0
2020,Denmark,All spending categories,31.74,100.0
2020,Finland,All spending categories,56.48,100.0
2020,France,All spending categories,109.5,100.0
2020,Germany,All spending categories,102.98,100.0
2020,India,All spending categories,740.0,100.0
2020,Indonesia,All spending categories,1950.0,100.0
2020,Iran,All spending categories,37.07,100.0
2020,Ireland,All spending categories,19.56,100.0
2020,Italy,All spending categories,46.98,100.0
2020,Japan,All spending categories,2275.07,100.0
2020,Kuwait,All spending categories,137.96,100.0
2020,Netherlands,All spending categories,51.97,100.0
2020,New Zealand,All spending categories,46.05,100.0
2020,Norway,All spending categories,18.6,100.0
2020,Oman,All spending categories,17.09,100.0
2020,Others,All spending categories,940.0,100.0
2020,Overall,All spending categories,12688.16,100.0
2020,Pakistan,All spending categories,93.1,100.0
2020,Philippines,All spending categories,345.91,100.0
2020,Russia,All spending categories,149.27,100.0
2020,Saudi Arabia,All spending categories,1416.05,100.0
2020,Singapore,All spending categories,2710.0,100.0
2020,South Africa,All spending categories,98.7,100.0
2020,South Korea,All spending categories,3346.19,100.0
2020,Spain,All spending categories,33.34,100.0
2020,Sweden,All spending categories,38.17,100.0
2020,Switzerland,All spending categories,27.56,100.0
2020,Thailand,All spending categories,3960.0,100.0
2020,U.S.A,All spending categories,193.16,100.0
2020,United Arab Emirates,All spending categories,112.8,100.0
2020,United Kingdom,All spending categories,302.9,100.0
2020,Vietnam,All spending categories,1507.82,100.0
2019,Australia,All spending categories,1758.4,100.0
2019,Belgium,All spending categories,90.19,100.0
2019,Brunei Darussalam,All spending categories,2991.14,100.0
2019,Canada,All spending categories,439.7,100.0
2019,China,All spending categories,15400.0,100.0
2019,Chinese Taipei,All spending categories,2246.6,100.0
2019,Denmark,All spending categories,99.35,100.0
2019,Finland,All spending categories,56.78,100.0
2019,France,All spending categories,636.26,100.0
2019,Germany,All spending categories,634.23,100.0
2019,India,All spending categories,3660.0,100.0
2019,Indonesia,All spending categories,13030.0,100.0
2019,Iran,All spending categories,402.25,100.0
2019,Ireland,All spending categories,95.45,100.0
2019,Italy,All spending categories,241.39,100.0
2019,Japan,All spending categories,2305.47,100.0
2019,Kuwait,All spending categories,87.6,100.0
2019,Netherlands,All spending categories,333.77,100.0
2019,New Zealand,All spending categories,225.69,100.0
2019,Norway,All spending categories,60.29,100.0
2019,Oman,All spending categories,218.45,100.0
2019,Others,All spending categories,4620.0,100.0
2019,Overall,All spending categories,89010.0,100.0
2019,Pakistan,All spending categories,459.98,100.0
2019,Philippines,All spending categories,1439.15,100.0
2019,Russia,All spending categories,373.15,100.0
2019,Saudi Arabia,All spending categories,1417.42,100.0
2019,Singapore,All spending categories,22620.0,100.0
2019,South Africa,All spending categories,99.72,100.0
2019,South Korea,All spending categories,3379.7,100.0
2019,Spain,All spending categories,183.84,100.0
2019,Sweden,All spending categories,139.93,100.0
2019,Switzerland,All spending categories,113.54,100.0
2019,Thailand,All spending categories,4090.0,100.0
2019,U.S.A,All spending categories,1287.14,100.0
2019,United Arab Emirates,All spending categories,112.94,100.0
2019,United Kingdom,All spending categories,2127.57,100.0
2019,Vietnam,All spending categories,1517.2,100.0
2018,Australia,All spending categories,1577.64,100.0
2018,Belgium,All spending categories,84.44,100.0
2018,Brunei Darussalam,All spending categories,3440.62,100.0
2018,Canada,All spending categories,381.91,100.0
2018,China,All spending categories,12300.0,100.0
2018,Chinese Taipei,All spending categories,1672.77,100.0
2018,Denmark,All spending categories,102.76,100.0
2018,Finland,All spending categories,51.89,100.0
2018,France,All spending categories,603.86,100.0
2018,Germany,All spending categories,526.13,100.0
2018,India,All spending categories,2770.0,100.0
2018,Indonesia,All spending categories,11070.0,100.0
2018,Iran,All spending categories,564.45,100.0
2018,Ireland,All spending categories,86.72,100.0
2018,Italy,All spending categories,215.09,100.0
2018,Japan,All spending categories,1670.1,100.0
2018,Kuwait,All spending categories,66.08,100.0
2018,Netherlands,All spending categories,341.7,100.0
2018,New Zealand,All spending categories,224.69,100.0
2018,Norway,All spending categories,66.48,100.0
2018,Oman,All spending categories,189.31,100.0
2018,Others,All spending categories,4040.0,100.0
2018,Overall,All spending categories,84135.17,100.0
2018,Pakistan,All spending categories,306.66,100.0
2018,Philippines,All spending categories,1115.12,100.0
2018,Russia,All spending categories,333.65,100.0
2018,Saudi Arabia,All spending categories,1305.4,100.0
2018,Singapore,All spending categories,27260.0,100.0
2018,South Africa,All spending categories,93.7,100.0
2018,South Korea,All spending categories,2753.81,100.0
2018,Spain,All spending categories,171.0,100.0
2018,Sweden,All spending categories,153.27,100.0
2018,Switzerland,All spending categories,111.98,100.0
2018,Thailand,All spending categories,3820.0,100.0
2018,U.S.A,All spending categories,1149.07,100.0
2018,United Arab Emirates,All spending categories,88.11,100.0
2018,United Kingdom,All spending categories,2084.79,100.0
2018,Vietnam,All spending categories,1333.93,100.0
